code,burmese,score,primary_family,source_families,raw_evidence_score
ork,ော့,270000,9,9,84910
ork,ော,245000,9,9,74910
ork,ော်,220000,9,9,64910
ort,ော့,270000,9,9,85910
ort,ော,245000,9,9,75910
ort,ော်,220000,9,9,65910
ot,ို့,270000,12,12,83880
ot,ို,262017,12,12,73880
ot,ိုး,254033,12,12,63880
ot,ုတ်,227983,12,25,31250
ot,ုပ်,220000,12,25,21250
ote,ုတ်,270000,25,25,160500
ote,ုပ်,270000,25,25,160500
ou,ု,270000,6,6,84940
ou,ူ,262964,6,6,74940
ou,ူး,255927,6,6,64940
ou,ို,234073,6,12,33880
ou,ိုး,227036,6,12,23880
ou,ို့,220000,6,12,13880
ouk,ောင့်,270000,10,"10,11",106290
ouk,ောက်,258730,10,10,84900
ouk,ောင်,225269,10,11,21390
ouk,ောင်း,220000,10,11,11390
oung,ောင်,270000,11,11,154780
oung,ောင်း,270000,11,11,154780
oung,ောင့်,220000,11,11,124780
ounk,ောင့်,270000,11,11,84890
ounk,ောင်,245000,11,11,74890
ounk,ောင်း,220000,11,11,64890
ount,ောင့်,270000,11,11,85890
ount,ောင်,245000,11,11,75890
ount,ောင်း,220000,11,11,65890
oup,ွပ်,270000,15,15,84850
oup,ွက်,245000,15,15,74850
oup,ွတ်,220000,15,15,64850
out,ောင့်,270000,10,"10,11",107790
out,ောက်,258587,10,10,85900
out,ောင်,225214,10,11,21890
out,ောင်း,220000,10,11,11890
ow,ိုး,270000,12,12,83880
ow,ို,263053,12,12,73880
ow,ို့,256105,12,12,63880
ow,ော,233895,12,9,31910
ow,ော်,226947,12,9,21910
ow,ော့,220000,12,9,11910
owl,ောင်း,270000,11,11,81890
owl,ောင်,245000,11,11,71890
owl,ောင့်,220000,11,11,61890
ox,ို့,270000,12,12,84880
ox,ို,245000,12,12,74880
ox,ိုး,220000,12,12,64880
u,ု,270000,6,6,85940
u,ူ,245000,6,6,75940
u,ူး,220000,6,6,65940
um,ံ,270000,17,17,84830
um,ံ့,263042,17,17,74830
um,န်,233923,17,2,32980
um,မ်,233916,17,3,32970
um,န်း,226965,17,2,22980
um,မ်း,226958,17,3,22970
um,န့်,220007,17,2,12980
um,မ့်,220000,17,3,12970
umm,မ်း,270000,3,3,82970
umm,မ်,245000,3,3,72970
umm,မ့်,220000,3,3,62970
un,ွန်း,330000,2,1,120000
un,န်,270000,2,2,81980
un,န်း,262858,2,2,71980
un,န့်,255716,2,2,61980
un,မ်,234284,2,3,31970
un,မ်း,227142,2,3,21970
un,မ့်,220000,2,3,11970
unn,မ်း,270000,3,3,81970
unn,မ်,245000,3,3,71970
unn,မ့်,220000,3,3,61970
unt,ံ့,270000,17,17,84830
unt,ံ,220000,17,17,74830
ut,ွတ်,270000,15,15,83850
ut,ွက်,245000,15,15,73850
ut,ွပ်,220000,15,15,63850
utt,ွတ်,270000,15,15,82850
utt,ွက်,245000,15,15,72850
utt,ွပ်,220000,15,15,62850
uu,ူး,270000,6,6,85940
uu,ု,245000,6,6,75940
uu,ူ,220000,6,6,65940
w,ော,270000,9,9,83910
w,ော်,245000,9,9,73910
w,ော့,220000,9,9,63910
wae,ွေ,270000,32,32,158360
wae,ွေ့,270000,32,32,158360
wae,ွေး,220000,32,32,128360
wah,ွာ,270000,33,33,82670
wah,ွား,262940,33,33,72670
wah,ွက်,234120,33,15,31850
wah,ွတ်,227060,33,15,21850
wah,ွပ်,220000,33,15,11850
wahh,ွား,270000,33,33,81170
wahh,ွာ,220000,33,33,71170
wak,ွက်,270000,15,15,85850
wak,ွတ်,245000,15,15,75850
wak,ွပ်,220000,15,15,65850
wal,ွယ်,270000,31,31,85690
wal,ွယ့်,220000,31,31,75690
war,ွာ,270000,33,33,159340
war,ွား,270000,33,33,159340
warr,ွား,270000,33,33,85670
warr,ွာ,220000,33,33,75670
wat,ွက်,270000,15,15,84850
wat,ွတ်,245000,15,15,74850
wat,ွပ်,220000,15,15,64850
way,ွေ,270000,32,32,234040
way,ွေ့,245000,32,32,224040
way,ွေး,220000,32,32,214040
wayy,ွေး,270000,32,32,84680
wayy,ွေ,245000,32,32,74680
wayy,ွေ့,220000,32,32,64680
we,ွေ,270000,32,32,81680
we,ွေ့,245000,32,32,71680
we,ွေး,220000,32,32,61680
wel,ွယ်,270000,31,31,84690
wel,ွယ့်,220000,31,31,74690
wet,ွက်,270000,15,15,83850
wet,ွတ်,245000,15,15,73850
wet,ွပ်,220000,15,15,63850
win,ွင်,270000,16,16,159680
win,ွင်း,270000,16,16,159680
win,ွင့်,220000,16,16,129680
wink,ွင့်,270000,16,16,84840
wink,ွင်,245000,16,16,74840
wink,ွင်း,220000,16,16,64840
winn,ွင်း,270000,16,16,85840
winn,ွင်,245000,16,16,75840
winn,ွင့်,220000,16,16,65840
wint,ွင့်,270000,16,16,85840
wint,ွင်,245000,16,16,75840
wint,ွင်း,220000,16,16,65840
wk,ွက်,270000,15,15,82850
wk,ွတ်,245000,15,15,72850
wk,ွပ်,220000,15,15,62850
wl,ွယ်,270000,31,31,83690
wl,ွယ့်,220000,31,31,73690
wor,ွာ,270000,33,33,155340
wor,ွား,270000,33,33,155340
wr,ွာ,270000,33,33,157340
wr,ွား,270000,33,33,157340
wrr,ွား,270000,33,33,84670
wrr,ွာ,220000,33,33,74670
wut,ွတ်,270000,15,15,81850
wut,ွက်,245000,15,15,71850
wut,ွပ်,220000,15,15,61850
wutt,ွတ်,270000,15,15,81350
wutt,ွက်,245000,15,15,71350
wutt,ွပ်,220000,15,15,61350
ww,ော,270000,9,9,82910
ww,ော်,245000,9,9,72910
ww,ော့,220000,9,9,62910
wy,ွေ,270000,32,32,232040
wy,ွေ့,245000,32,32,222040
wy,ွေး,220000,32,32,212040
wyn,ွင်,270000,16,16,84840
wyn,ွင်း,245000,16,16,74840
wyn,ွင့်,220000,16,16,64840
wynn,ွင်း,270000,16,16,84840
wynn,ွင်,245000,16,16,74840
wynn,ွင့်,220000,16,16,64840
wyy,ွေ,270000,32,32,231040
wyy,ွေ့,245000,32,32,221040
wyy,ွေး,220000,32,32,211040
y,ေ,270000,8,8,157840
y,ေး,270000,8,8,157840
y,ေ့,220000,8,8,127840
yae,ေ့,270000,8,8,83920
yae,ေ,262954,8,8,73920
yae,ေး,255908,8,8,63920
yae,ဲ့,234092,8,4,32960
yae,ည့်,227046,8,4,22960
yae,ယ့်,220000,8,4,12960
yar,ြား,270000,34,34,85660
yar,ြာ,245000,34,34,75660
yar,ျား,220000,34,34,65660
yarr,ြား,270000,34,34,84660
yarr,ြာ,245000,34,34,74660
yarr,ျား,220000,34,34,64660
yk,ိုက်,270000,13,13,82870
yke,ိုက်,270000,13,13,83870
yn,ွင်း,270000,16,16,82840
yn,ွင်,245000,16,16,72840
yn,ွင့်,220000,16,16,62840
yne,ိုင်း,270000,14,14,84860
yne,ိုင်,220000,14,14,74860
yo,ြို,270000,35,35,85650
yo,ျို,220000,35,35,75650
you,ြု,270000,36,36,84640
yr,ြား,270000,34,34,82660
yr,ြာ,245000,34,34,72660
yr,ျား,220000,34,34,62660
yrr,ြား,270000,34,34,83660
yrr,ြာ,245000,34,34,73660
yrr,ျား,220000,34,34,63660
yu,ြု,270000,36,36,85640
yut,ွတ်,270000,15,15,81350
yut,ွက်,245000,15,15,71350
yut,ွပ်,220000,15,15,61350
yy,ေး,270000,8,8,83920
yy,ေ,245000,8,8,73920
yy,ေ့,220000,8,8,63920
one,ုံး,330000,0,0,0
yon,ျွန်,320000,0,0,0
yun,ျွန်,310000,0,0,0
yonn,ျွန်း,320000,0,0,0
yunn,ျွန်း,310000,0,0,0
on,ွန်,285000,0,0,0
oon,ွန်း,300000,0,0,0
wae,ေွ့,285000,0,0,0
wl,ွဲ,380000,0,0,0
wal,ွဲ,379000,0,0,0
