roman,burmese,rank,source
phar,ဖာ,70,forward
phat,ဖတ်,70,forward
phaung,ဖောင်,70,forward
phaw,ဖော,70,forward
phay,ဖေ,70,forward
phe,ဖီ,70,forward
phee,ဖီး,70,forward
phein,ဖိန်,70,forward
pher,ဖာ,70,forward
phi,ဖီ,70,forward
phoe,ဖိုး,70,forward
phon,ဖုန်,70,forward
phone,ဖုန်း,70,forward
phoo,ဖူး,70,forward
phot,ဖို့,70,forward
phu,ဖူး,70,forward
phue,ဖူး,70,forward
phuu,ဖူး,70,forward
phwal,ဖွယ်,70,forward
phwar,ဖွာ,70,forward
phway,ဖွေး,70,forward
phwe,ဖွေး,70,forward
phwint,ဖွင့်,70,forward
phy,ဖီ,70,forward
phya,ဖျား,70,forward
phyar,ဖြာ,70,forward
phyeo,ဖြိုး,70,forward
phyint,ဖြင့်,70,forward
phyo,ဖြိုး,70,forward
phyoe,ဖြိုး,70,forward
phyu,ဖြူ,70,forward
phyue,ဖြူး,70,forward
phyuu,ဖြူး,70,forward
pi,ပီ,70,forward
pig,ပစ်,70,forward
pike,ပိုက်,70,forward
pin,ပင်,70,forward
po,ပို,70,forward
poe,ပိုး,70,forward
poet,ပို့,70,forward
poh,ပို့,70,forward
poht,ပို့,70,forward
pome,ပုမ်း,70,forward
pon,ပုံ,70,forward
pont,ပုံ့,70,forward
poon,ပွန်း,70,forward
pop,ပေါ့,70,forward
pril,ပြီ,70,forward
pu,ပု,70,forward
pue,ပူး,70,forward
pum,ပမ်,70,forward
pun,ပွန်,70,forward
puu,ပူး,70,forward
pwa,ပွ,70,forward
pwar,ပွား,70,forward
pwe,ပွဲ,70,forward
pwint,ပွင့်,70,forward
pyae,ပြည့်,70,forward
pyah,ပြည့်,70,forward
pyai,ပြည့်,70,forward
pyaing,ပြိုင်,70,forward
pyan,ပြန်း,70,forward
pyant,ပျံ့,70,forward
pyar,ပြာ,70,forward
pyaung,ပြောင်,70,forward
pyay,ပြေ,70,forward
pyee,ပြီး,70,forward
pyi,ပြည်,70,forward
pyinsa,ပဉ္စ,70,forward
pyo,ပျို,70,forward
pyon,ပြုံ,70,forward
pyone,ပြုံး,70,forward
r,အာ,70,forward
ra,ရ,70,forward
race,ရေ့စ်,70,forward
raim,ရိမ်,70,forward
rain,ရိန်,70,forward
raine,ရိန်း,70,forward
ral,ရယ်,70,forward
ram,ရဲမ်,70,forward
ran,ရမ်,70,forward
rance,ရင့်စ်,70,forward
rang,ရန်း,70,forward
rap,ရပ်,70,forward
rat,ရက်,70,forward
rave,ရေ့ဒ်ဗ်,70,forward
raw,ရော,70,forward
re,ရီ,70,forward
ree,ရီး,70,forward
reim,ရိမ်,70,forward
rein,ရိန်,70,forward
ren,ရင်န်,70,forward
ret,ရက်,70,forward
ri,ရိ,70,forward
ril,ရယ်,70,forward
rin,ရင်း,70,forward
rine,ရင်း,70,forward
ring,ရင်း,70,forward
ris,ရစ်,70,forward
rist,ရစ္စ,70,forward
rit,ရစ်,70,forward
ro,ရို,70,forward
rock,ရော့ခ်,70,forward
roi,ရွယ်,70,forward
rom,ရွမ်,70,forward
ron,ရွန်း,70,forward
rose,ရို့စ်,70,forward
roum,ရွမ်း,70,forward
rown,ရောင်းန်,70,forward
roy,ရိုင်,70,forward
ru,ရု,70,forward
ruat,ရွတ်,70,forward
ry,ရီ,70,forward
s,စ,70,forward
sa,စံ,70,forward
sae,စေ့,70,forward
sai,စိုင်း,70,forward
saik,ဆိုက်,70,forward
sain,စိန်,70,forward
saing,စိုင်း,70,forward
sainn,စိမ်း,70,forward
saint,စိမ့်,70,forward
sal,ဆယ်,70,forward
sam,ဆမ်း,70,forward
san,စံ,70,forward
sanda,စန္ဒာ,70,forward
sandar,စန္ဒာ,70,forward
sandara,စန္ဒြာ,70,forward
sandi,စန္ဒီ,70,forward
sandy,စန္ဒီ,70,forward
sann,ဆန်း,70,forward
sant,ဆန့်,70,forward
sap,ဆပ်,70,forward
sar,ဆာ,70,forward
sat,ဆက်,70,forward
satkant,စက္ကန့်,70,forward
satt,ဆက်,70,forward
saung,ဆောင်း,70,forward
saw,စော,70,forward
sawm,ဆောမ်း,70,forward
say,စေး,70,forward
se,စီ,70,forward
see,ဆည်း,70,forward
sein,စိန်,70,forward
seinn,စိမ်း,70,forward
seint,စိမ့်,70,forward
sekkya,စင်္ကြာ,70,forward
sekkyar,စင်္ကြာ,70,forward
sell,ဆဲလ်,70,forward
seng,ဆိုင်း,70,forward
seph,စက်ဖ်,70,forward
set,ဆက်,70,forward
setkya,စင်္ကြာ,70,forward
setkyar,စင်္ကြာ,70,forward
sett,ဆက်,70,forward
sey,စီ,70,forward
sha,ရှ,70,forward
shae,ရှေး,70,forward
shal,ရှယ်,70,forward
shan,လျှံ,70,forward
shane,ရှိန်း,70,forward
shann,ရှန်း,70,forward
shante,သျှန္တီ,70,forward
shanti,သျှန္တီ,70,forward
shar,သျှား,70,forward
sharm,ရှာမ်,70,forward
shaung,ရှောင်,70,forward
shay,ရှည်,70,forward
she,ရှီ,70,forward
shee,ရှီး,70,forward
sheik,ရှိတ်,70,forward
shein,ရှိန်,70,forward
shel,ရှယ်,70,forward
shi,ရှီ,70,forward
shie,ရှီး,70,forward
shin,ရှင်း,70,forward
shine,ရှိုင်း,70,forward
shinn,ရှင်း,70,forward
sho,လျို,70,forward
shoe,ရှိုး,70,forward
shon,ရွှန်း,70,forward
shone,ရှုံး,70,forward
shooe,ရှိုး,70,forward
shoon,ရွှန်း,70,forward
show,ရှိုး,70,forward
showe,ရှိုး,70,forward
shu,ရှု,70,forward
shue,ရှု,70,forward
shun,ရွှန်း,70,forward
shune,ရွှန်း,70,forward
shunn,ရွှန်း,70,forward
shwae,ရွှေ့,70,forward
shwe,ရွှေ,70,forward
shwin,ရွှင်,70,forward
si,စည်,70,forward
siddhi,သိဒ္ဓိ,70,forward
sike,ဆိုက်,70,forward
sil,ဆဲလ်,70,forward
sin,စင်,70,forward
sinn,ဆင်း,70,forward
sint,ဆင့်,70,forward
sis,စစ်,70,forward
sit,စစ်,70,forward
site,စိုက်,70,forward
sitt,စစ်,70,forward
snadar,စန္ဒာ,70,forward
so,ဆို,70,forward
soe,စိုး,70,forward
soi,စွဲ့,70,forward
sokka,စုက္က,70,forward
son,ဆန်,70,forward
sone,စုံ,70,forward
soon,ဆွန်း,70,forward
soum,ဆုမ်း,70,forward
su,စု,70,forward
sue,ဆူး,70,forward
sun,ဆန်း,70,forward
sundi,စန္ဒီ,70,forward
sundy,စန္ဒီ,70,forward
sung,ဆုမ်း,70,forward
sunn,ဆန်း,70,forward
sunt,ဆန့်,70,forward
sup,ဆပ်,70,forward
suu,စူး,70,forward
suun,ဆန်း,70,forward
swal,ဆွဲ,70,forward
swam,ဆွမ်,70,forward
swan,စွမ်း,70,forward
swant,ဆွမ့်,70,forward
swar,စွာ,70,forward
swaye,ဆွေး,70,forward
swe,ဆွေ,70,forward
sweet,ဆွိ,70,forward
swel,ဆွဲ,70,forward
swet,စွဲ့,70,forward
swin,ဆွင်,70,forward
swine,ဆွင်း,70,forward
swon,စွန်း,70,forward
swout,စွပ်,70,forward
swun,စွမ်း,70,forward
swut,ဆွတ်,70,forward
ta,တ,70,forward
tai,တိုင်,70,forward
taik,တိုက်,70,forward
tain,တိန်း,70,forward
taing,တိုင်း,70,forward
taint,တိန့်,70,forward
tak,တက်,70,forward
takka,တက္ခ,70,forward
tal,တယ်လ်,70,forward
tan,တန်,70,forward
tane,တိမ်း,70,forward
tann,တန်း,70,forward
tant,တံ့,70,forward
tar,တာ,70,forward
tat,တက်,70,forward
tauk,တောက်,70,forward
taung,တောင်,70,forward
taut,တောက်,70,forward
taw,တော်,70,forward
tay,တေ,70,forward
te,တီ,70,forward
tee,တီး,70,forward
teel,တီးလ်,70,forward
tekka,တက္ခ,70,forward
ter,တာ,70,forward
tet,တက်,70,forward
tha,သ,70,forward
thada,သဒ္ဓါ,70,forward
thadar,သဒ္ဒါ,70,forward
thaddi,သိဒ္ဓိ,70,forward
thae,သဲ,70,forward
thagyan,သင်္ကြန်,70,forward
thaik,သိုက်,70,forward
thain,သိမ်,70,forward
thaing,သိုင်း,70,forward
thaingi,သိင်္ဂီ,70,forward
thal,သဲ,70,forward
thalar,သလ္လာ,70,forward
than,သန်း,70,forward
thanbu,သမ္ဘူ,70,forward
thanda,သန္တာ,70,forward
thandar,သန္တာ,70,forward
thandra,သန္ဒြာ,70,forward
thanmar,သမ္မာ,70,forward
thant,သန့်,70,forward
thar,သာ,70,forward
thatti,သတ္တိ,70,forward
thaung,သောင်း,70,forward
thaw,သော်,70,forward
thawt,သော့,70,forward
thay,သေး,70,forward
the,သေ့,70,forward
thee,သီး,70,forward
theiddat,သိဓ္ဓတ်,70,forward
theik,သိုက်,70,forward
theikha,သိင်္ခ,70,forward
thein,သိန်း,70,forward
theinga,သိင်္ဃ,70,forward
theingar,သိင်္ဂါ,70,forward
theingi,သိင်္ဂီ,70,forward
theinkha,သိင်္ခ,70,forward
theint,သိမ့်,70,forward
theitpan,သိပ္ပံ,70,forward
thel,သဲ,70,forward
thet,သက်,70,forward
thetka,သက္က,70,forward
thi,သီ,70,forward
thike,သိုက်,70,forward
thin,သင်း,70,forward
thinchar,သင်္ချာ,70,forward
thinchay,သင်္ချေ,70,forward
thine,သိုင်း,70,forward
thingyan,သင်္ကြန်,70,forward
thinhse,သိဉ္စည်း,70,forward
thinkay,သင်္ကေ,70,forward
thinkha,သင်္ခ,70,forward
thinn,သင်း,70,forward
thint,သင့်,70,forward
thinza,သဉ္ဇ,70,forward
thinzar,သဉ္စာ,70,forward
thinzu,သဉ္ဇူ,70,forward
thissar,သစ္စာ,70,forward
thit,သစ်,70,forward
thitsar,သစ္စာ,70,forward
tho,သို,70,forward
thon,သွန်း,70,forward
thone,သုန်,70,forward
thoon,သွန်း,70,forward
thot,သို့,70,forward
thouk,သောက်,70,forward
thu,သူ,70,forward
thudaw,သုဒ္ဓေါ,70,forward
thun,သွန်း,70,forward
thunn,သွန်း,70,forward
thwal,သွယ်,70,forward
thwar,သွား,70,forward
thwat,သော့,70,forward
thway,သွေး,70,forward
thwe,သွယ်,70,forward
thwel,သွယ်,70,forward
thwet,သွဲ့,70,forward
thwin,သွင်,70,forward
thwint,သွင့်,70,forward
ti,တီ,70,forward
tide,တိုက်,70,forward
tike,တိုက်,70,forward
tin,တင်,70,forward
tine,တိုင်း,70,forward
tint,တင့်,70,forward
tit,တစ်,70,forward
to,တို,70,forward
toe,တိုး,70,forward
toke,တုတ်,70,forward
tom,တွမ်,70,forward
tone,တုန်,70,forward
too,တူး,70,forward
tout,တောက်,70,forward
tra,တြာ,70,forward
tri,တြီ,70,forward
tu,တု,70,forward
tue,တူး,70,forward
tun,ထွန်း,70,forward
tuu,တူး,70,forward
twal,တွယ်,70,forward
twam,တွမ်,70,forward
twan,တွမ်း,70,forward
twann,တွန်း,70,forward
twar,တွာ,70,forward
tway,တွေ,70,forward
twel,တွယ်,70,forward
twun,တွမ်း,70,forward
ty,တိုင်,70,forward
u,ဦး,70,forward
ua,ဝါ,70,forward
v,ဗွီ,70,forward
va,ဗ,70,forward
van,ဗန်,70,forward
vann,ဗန်း,70,forward
ver,ဗား,70,forward
vic,ဗစ်,70,forward
vid,ဗစ်,70,forward
vie,ဗီ,70,forward
vin,ဗင်,70,forward
wa,ဝ,70,forward
wah,ဝါ,70,forward
wai,ဝေ,70,forward
wain,ဝိန်,70,forward
waing,ဝိုင်း,70,forward
wal,ဝယ်,70,forward
wan,ဝမ်း,70,forward
wane,ဝိန်,70,forward
wann,ဝမ်း,70,forward
wanna,ဝဏ္ဏ,70,forward
war,ဝါ,70,forward
way,ဝေး,70,forward
we,ဝီ,70,forward
wei,ဝယ်,70,forward
wein,ဝိန်,70,forward
wel,ဝယ်လ်,70,forward
white,ဝိုက်,70,forward
wi,ဝီ,70,forward
win,ဝင်း,70,forward
wine,ဝိုင်း,70,forward
winn,ဝင်း,70,forward
wint,ဝင့်,70,forward
wit,ဝတ်,70,forward
wohn,ဝုန်,70,forward
won,ဝန်း,70,forward
wone,ဝုန်,70,forward
wonna,ဝဏ္ဏ,70,forward
woon,ဝန်း,70,forward
wou,ဝူ,70,forward
wu,ဝူ,70,forward
wuit,ဝတ်,70,forward
wun,ဝန်း,70,forward
wunn,ဝန်း,70,forward
wunna,ဝဏ္ဏ,70,forward
wut,ဝတ်,70,forward
wutt,ဝတ်,70,forward
wyit,ဝတ်,70,forward
wyne,ဝိုင်း,70,forward
wynn,ဝင်း,70,forward
wyut,ဝတ်,70,forward
xander,ဇန္ဒား,70,forward
ya,ရ,70,forward
yae,ရေ,70,forward
yah,ယား,70,forward
yai,ရဲ့,70,forward
yain,ရိန်,70,forward
yaine,ယိန်း,70,forward
yaing,ယိုင်,70,forward
yaint,ယိမ့်,70,forward
yake,ရိပ်,70,forward
yal,ရယ်,70,forward
yan,ယံ,70,forward
yang,ရန်း,70,forward
yann,ယန်း,70,forward
yar,ယျာ,70,forward
yat,ရက်,70,forward
yaung,ရောင်,70,forward
yaw,ယော်,70,forward
yawt,ရော့ဒ်,70,forward
yay,ရေ,70,forward
ye,ရဲ,70,forward
yee,ရည်,70,forward
yeik,ရိပ်,70,forward
yein,ရိန်,70,forward
yeint,ယိမ့်,70,forward
yem,ရဲမ်,70,forward
yen,ရင်န်,70,forward
yet,ရက်,70,forward
yi,ရည်,70,forward
yie,ရည်,70,forward
yin,ယဉ်,70,forward
yine,ရိုင်း,70,forward
yint,ရင့်,70,forward
yit,ရစ်,70,forward
yo,ရို,70,forward
yoe,ရိုး,70,forward
yoke,ရုပ်,70,forward
yon,ယုံ,70,forward
yone,ရုံ,70,forward
yoon,ယွန်း,70,forward
yope,ရုပ်,70,forward
yote,ရုပ်,70,forward
youm,ရွမ်း,70,forward
yoy,ရိုင်,70,forward
yu,ယု,70,forward
yue,ယူး,70,forward
yun,ယွန်း,70,forward
yut,ရွတ်,70,forward
ywae,ရွေ့,70,forward
ywal,ရွယ်,70,forward
ywar,ရွာ,70,forward
ywat,ရွက်,70,forward
ywet,ရွက်,70,forward
za,ဇေ,70,forward
zabu,ဇမ္ဗူ,70,forward
zal,ဇယ်,70,forward
zam,ဇမ်း,70,forward
zamt,ဇမ့်,70,forward
zan,ဇံ,70,forward
zane,ဇိန်း,70,forward
zanw,ဇော်,70,forward
zar,ဇာ,70,forward
zat,ဇက်,70,forward
zaung,ဇေါင်း,70,forward
zaw,ဇော်,70,forward
zawl,ဇော,70,forward
zay,ဇေ,70,forward
ze,ဇီ,70,forward
zee,ဇီး,70,forward
zeik,ဇိတ်,70,forward
zen,ဈာန်,70,forward
zet,ဇက်,70,forward
zhan,ဇံ,70,forward
zhi,ဇ္ဈိ,70,forward
zi,ဇီ,70,forward
zin,ဇင်,70,forward
zinn,ဇင်း,70,forward
zint,ဇင့်,70,forward
zo,ဇို,70,forward
zon,ဇွန်,70,forward
zone,ဇုန်,70,forward
zoon,ဇွန်း,70,forward
zu,ဇူ,70,forward
zue,ဇူး,70,forward
zun,ဇွန်,70,forward
zuu,ဇူး,70,forward
zwal,ဇွဲ,70,forward
zwe,ဇွဲ,70,forward
zwel,ဇွဲ,70,forward
zyan,ဈာန်,70,forward
a,အ,60,reverse-only
a,အေ,60,reverse-only
aant,အန့်,60,reverse-only
aein,အိဏ်,60,reverse-only
aein,အိဏ်း,60,reverse-only
aein,အိန်,60,reverse-only
aein,အိမ်လ်,60,reverse-only
aeinda,အိန္တ,60,reverse-only
aeinda,ဣန္ဒ,60,reverse-only
aeindar,အိန္ဒာ,60,reverse-only
aeindar,ဣန္တာ,60,reverse-only
aeindar,ဣန္ဒာ,60,reverse-only
aeindray,ဣန္ဒြေ,60,reverse-only
aeindu,အိန္ဒု,60,reverse-only
aeinn,အိမ်း,60,reverse-only
an,အဲန်,60,reverse-only
ar,အာဖ်,60,reverse-only
ar,အာရ်,60,reverse-only
arr,အားရ်,60,reverse-only
arr,အားလ်,60,reverse-only
auu,အူ,60,reverse-only
aww,အော,60,reverse-only
aww,အော်,60,reverse-only
ba,ဗ,60,reverse-only
bai,ပါယ်,60,reverse-only
bal,ဘယ်,60,reverse-only
bal,ဘယ်လ်,60,reverse-only
baw,ဘော,60,reverse-only
bay,ဗေ,60,reverse-only
bay,ဗေး,60,reverse-only
be,ဗီ,60,reverse-only
be,ဘီလ်,60,reverse-only
bel,ဘဲန်,60,reverse-only
bert,ဘက်,60,reverse-only
bhone,ဘုဏ်း,60,reverse-only
bi,ဘိ,60,reverse-only
bi,ဘိုင်,60,reverse-only
bo,ဗို,60,reverse-only
bo,ဗိုလ်,60,reverse-only
boi,ဘွိုင်း,60,reverse-only
boke,ဗုတ်,60,reverse-only
bon,ဗုံ,60,reverse-only
bon,ဗွန်,60,reverse-only
bu,ဘု,60,reverse-only
bwe,ဘွဲ,60,reverse-only
byar,ဗြာ,60,reverse-only
chal,ချယ်လ်,60,reverse-only
chal,ခြယ်,60,reverse-only
chan,ချန်,60,reverse-only
chan,ချန်း,60,reverse-only
char,ချား,60,reverse-only
char,ခြာ,60,reverse-only
chard,ချက်ထ်,60,reverse-only
chaung,ချောင်း,60,reverse-only
chaw,ချော်,60,reverse-only
che,ချီ,60,reverse-only
chi,ချိ,60,reverse-only
chin,ချင်,60,reverse-only
chin,ခြင်း,60,reverse-only
chon,ချုံ,60,reverse-only
chu,ချူ,60,reverse-only
chu,ချူး,60,reverse-only
chu,ခြူ,60,reverse-only
da,ဒ,60,reverse-only
da,ဓ,60,reverse-only
dain,ဒိန်,60,reverse-only
dain,ဒိမ်,60,reverse-only
dan,ဓါန်,60,reverse-only
dar,ဋာ,60,reverse-only
dar,ဒါ,60,reverse-only
dar,ဒါး,60,reverse-only
dar,ဒါးလ်,60,reverse-only
daung,ဒေါင်း,60,reverse-only
daw,ဒေါ,60,reverse-only
day,ဒေ,60,reverse-only
day,ဒေး,60,reverse-only
de,ဒီ,60,reverse-only
de,ဓီ,60,reverse-only
di,ဒိ,60,reverse-only
di,ဓိ,60,reverse-only
din,ဒင်း,60,reverse-only
dine,ဒိုင်း,60,reverse-only
doe,ဒိုး,60,reverse-only
du,ဒု,60,reverse-only
du,ဒုလ်,60,reverse-only
du,ဓု,60,reverse-only
du,ဓူ,60,reverse-only
dwat,ဒေါ့,60,reverse-only
dwat,ဒွက်,60,reverse-only
e,အက်,60,reverse-only
eain,အိပ်,60,reverse-only
ei,အိစ်,60,reverse-only
ei,အီ,60,reverse-only
ei,အီး,60,reverse-only
ei,ဣ,60,reverse-only
game,ဂိမ်,60,reverse-only
ganda,ဂန္ဓ,60,reverse-only
ganda,ဂန္ဓာ,60,reverse-only
gant,ဂန့်,60,reverse-only
gaw,ဂေါ်,60,reverse-only
gay,ဂေး,60,reverse-only
go,ဂိုး,60,reverse-only
gon,ဂုံ,60,reverse-only
gyan,ဂျမ်,60,reverse-only
hae,ဟဲဒ်,60,reverse-only
hain,ဟိဏ်း,60,reverse-only
han,ဟံ,60,reverse-only
har,ဟယ်,60,reverse-only
hay,ဟြေ,60,reverse-only
hein,ဟိမ်း,60,reverse-only
hin,ဟင်,60,reverse-only
hin,ဟင်လ်,60,reverse-only
hlaine,လှိုင်း,60,reverse-only
hlaine,လှိုဏ်း,60,reverse-only
hlan,လှန်,60,reverse-only
hlayan,လျှန်,60,reverse-only
hlayan,လျှမ်,60,reverse-only
hmone,မှုန်,60,reverse-only
hmone,မှုန်း,60,reverse-only
ho,ဟို,60,reverse-only
hone,ဟုန်,60,reverse-only
hone,ဟုမ်,60,reverse-only
hpone,ဖုဏ်း,60,reverse-only
hsal,ဆဲ,60,reverse-only
hsan,ဆမ်,60,reverse-only
hsan,ဆံ,60,reverse-only
hseng,ဆိုင်,60,reverse-only
hta,ဌ,60,reverse-only
htal,ထယ်,60,reverse-only
htan,ထန်,60,reverse-only
htan,ထဲမ်း,60,reverse-only
htar,ထာ,60,reverse-only
htar,ထာရ်,60,reverse-only
htar,ထာသ်,60,reverse-only
htaung,ထောင်,60,reverse-only
htaw,ထော်,60,reverse-only
htay,ဌေ,60,reverse-only
hti,ထိ,60,reverse-only
htoon,ထွဏ်း,60,reverse-only
htut,ထွတ်,60,reverse-only
htway,ထွေ,60,reverse-only
hwan,ဟွမ်း,60,reverse-only
inza,အဉ္ဇ,60,reverse-only
ja,ဂျား,60,reverse-only
jack,ဂျက်ခ်,60,reverse-only
jal,ဂျယ်လ်,60,reverse-only
jo,ဂျို,60,reverse-only
ka,ကု,60,reverse-only
kain,ကိန်း,60,reverse-only
kain,ကိမ်း,60,reverse-only
kaing,ကိုင်း,60,reverse-only
kal,ကယ်လ်,60,reverse-only
kam,ကမ်း,60,reverse-only
kan,ကန်,60,reverse-only
kan,ကန်း,60,reverse-only
kant,ကန့်,60,reverse-only
kap,ကတ်,60,reverse-only
kar,ကား,60,reverse-only
kat,ကက်,60,reverse-only
kaung,ကောင်,60,reverse-only
kaw,ကော,60,reverse-only
kay,ကေး,60,reverse-only
ke,ကီလ်,60,reverse-only
kham,ခန်း,60,reverse-only
kham,ခမ်,60,reverse-only
khan,ခဏ်,60,reverse-only
khan,ခန်,60,reverse-only
khan,ခံ,60,reverse-only
khant,ခမ့်,60,reverse-only
khant,ခံ့,60,reverse-only
khar,ခါ,60,reverse-only
khar,ခါရ်,60,reverse-only
khat,ခက်ခ်,60,reverse-only
khat,ခတ်,60,reverse-only
khaung,ခေါင်း,60,reverse-only
khaw,ခေါ,60,reverse-only
khaw,ခေါမ်,60,reverse-only
khaw,ခေါမ်း,60,reverse-only
khaw,ခေါလ်,60,reverse-only
khaw,ခေါ်,60,reverse-only
khawl,ခေါ်လ်,60,reverse-only
khay,ခေ,60,reverse-only
khin,ခင်း,60,reverse-only
khon,ခုံ,60,reverse-only
khu,ခု,60,reverse-only
khwan,ခွမ်း,60,reverse-only
khwar,ခွါ,60,reverse-only
khwar,ခွား,60,reverse-only
khway,ခွေး,60,reverse-only
ki,ကိ,60,reverse-only
kin,ကင်,60,reverse-only
kiss,ကိစ္စ,60,reverse-only
ko,ကိုယ်,60,reverse-only
kone,ကုံး,60,reverse-only
ku,ကူး,60,reverse-only
kwal,ကွယ်,60,reverse-only
kway,ကွေ,60,reverse-only
kwaye,ကွေး,60,reverse-only
kya,ကြ,60,reverse-only
kyae,ကျဲရ်,60,reverse-only
kyaine,ကြိုင်း,60,reverse-only
kyan,ကျန်း,60,reverse-only
kyan,ကြံ,60,reverse-only
kyar,ကျား,60,reverse-only
kyar,ကြား,60,reverse-only
kyaung,ကျောင်း,60,reverse-only
kyaung,ကြောင်,60,reverse-only
kyaung,ကြောင်း,60,reverse-only
kyaw,ကျော,60,reverse-only
kyaw,ကြော,60,reverse-only
kyawt,ကျော့်,60,reverse-only
kyawt,ကြော့,60,reverse-only
kyay,ကျေး,60,reverse-only
kyee,ကျီး,60,reverse-only
kyein,ကျိမ်း,60,reverse-only
kyi,ကျီ,60,reverse-only
kyi,ကြည့်,60,reverse-only
kyin,ကျင်း,60,reverse-only
kyin,ကြင်,60,reverse-only
kyo,ကြို,60,reverse-only
kyoe,ကြိုး,60,reverse-only
kyon,ကျွင်း,60,reverse-only
kyon,ကြုံ,60,reverse-only
kyu,ကျူ,60,reverse-only
kyu,ကျူး,60,reverse-only
kywal,ကျွယ်,60,reverse-only
kywan,ကျွန်,60,reverse-only
kywan,ကြွမ်,60,reverse-only
l,အယ်လ်,60,reverse-only
lae,လဲ,60,reverse-only
lae,လဲလ်,60,reverse-only
lain,လိန်,60,reverse-only
lain,လိမ်း,60,reverse-only
lal,လည်း,60,reverse-only
lal,လယ်,60,reverse-only
lan,လန်,60,reverse-only
lan,လန်း,60,reverse-only
lan,လာန်,60,reverse-only
lan,လဲန်း,60,reverse-only
lann,လာန်း,60,reverse-only
lant,လန့်,60,reverse-only
lant,လဲမ့်,60,reverse-only
lao,လောင်,60,reverse-only
lar,လား,60,reverse-only
lar,ဠာ,60,reverse-only
laung,လောင်း,60,reverse-only
law,လော်,60,reverse-only
lay,လေ,60,reverse-only
layan,လျန်,60,reverse-only
layan,လျံ,60,reverse-only
li,လိ,60,reverse-only
lin,လင်,60,reverse-only
lin,လဲင်,60,reverse-only
lon,လုံ,60,reverse-only
lu,လု,60,reverse-only
lu,ဠု,60,reverse-only
lwal,လွဲ,60,reverse-only
lwan,လွမ်,60,reverse-only
mae,မဲန်,60,reverse-only
mae,မဲလ်,60,reverse-only
main,မိန်း,60,reverse-only
man,မန်,60,reverse-only
man,မန်း,60,reverse-only
man,မံ,60,reverse-only
mar,မာရ်,60,reverse-only
mar,မား,60,reverse-only
mat,မတ်,60,reverse-only
maw,မော,60,reverse-only
maw,မောရ်,60,reverse-only
mee,မီးရ်,60,reverse-only
mi,မိ,60,reverse-only
mile,မိုင်းလ်,60,reverse-only
min,မင်,60,reverse-only
mine,မိုင်း,60,reverse-only
mo,မိုရ်,60,reverse-only
moet,မို့စ်,60,reverse-only
mone,မုန်,60,reverse-only
mone,မုန်း,60,reverse-only
mu,မု,60,reverse-only
mu,မုစ်,60,reverse-only
mwan,မွမ်,60,reverse-only
mway,မွေ,60,reverse-only
myae,မြေး,60,reverse-only
myaet,မြက်,60,reverse-only
mye,မြီ,60,reverse-only
myint,မြင့့်,60,reverse-only
myintzu,မြဉ္ဇူ,60,reverse-only
n,အန်,60,reverse-only
n,အန်ဒ်,60,reverse-only
na,ဏ,60,reverse-only
na,နား,60,reverse-only
nae,နဲ,60,reverse-only
nan,နန်,60,reverse-only
nan,နန်းဒ်,60,reverse-only
nan,နမ်,60,reverse-only
nan,နာမ်,60,reverse-only
nan,နဲမ်း,60,reverse-only
nant,နန့်,60,reverse-only
nar,ဏာ,60,reverse-only
nar,နာ့,60,reverse-only
nat,နတ်,60,reverse-only
naw,နော,60,reverse-only
nge,ငဲ,60,reverse-only
ni,ဏိ,60,reverse-only
ni,ဏီ,60,reverse-only
ni,နည်,60,reverse-only
non,နွန်း,60,reverse-only
non,နွံ,60,reverse-only
nwan,နွမ်,60,reverse-only
nway,နွေ,60,reverse-only
nyar,ငြား,60,reverse-only
nyar,ညာ,60,reverse-only
nyein,ငြိမ်,60,reverse-only
nyein,ညိန်း,60,reverse-only
nyein,ညိမ်း,60,reverse-only
nyeint,ညိမ့်,60,reverse-only
nyunt,ညွန်,60,reverse-only
oak,အုတ်,60,reverse-only
ohn,အုံ,60,reverse-only
ohn,အုံး,60,reverse-only
pa,ပိ,60,reverse-only
pa,ပု,60,reverse-only
pae,ပဲ,60,reverse-only
pal,ပယ်လ်,60,reverse-only
pan,ပန်,60,reverse-only
pan,ပဲန်း,60,reverse-only
pan,ပံ,60,reverse-only
par,ပါရ်,60,reverse-only
par,ပါ့,60,reverse-only
par,ပါး,60,reverse-only
paw,ပေါ,60,reverse-only
pay,ပေး,60,reverse-only
pee,ပီး,60,reverse-only
phan,ဖန်း,60,reverse-only
phar,ဖား,60,reverse-only
phaung,ဖောင်း,60,reverse-only
phaw,ဖေါ,60,reverse-only
phaw,ဖော်,60,reverse-only
phe,ဖီး,60,reverse-only
phi,ဖိ,60,reverse-only
phone,ဖုံး,60,reverse-only
phu,ဖု,60,reverse-only
phu,ဖူ,60,reverse-only
phwar,ဖွား,60,reverse-only
pwar,ပွါ,60,reverse-only
pyan,ပြန်,60,reverse-only
pyant,ပြန့်,60,reverse-only
pyar,ပြား,60,reverse-only
pyaung,ပြောင်း,60,reverse-only
pyay,ပြည်,60,reverse-only
rain,ရိန်း,60,reverse-only
ral,ရယ်လ်,60,reverse-only
ran,ရမ်း,60,reverse-only
rat,ယက်,60,reverse-only
rat,ရတ်,60,reverse-only
raw,ရော်,60,reverse-only
rin,ရင်န်,60,reverse-only
