roman,burmese,rank,source
hylar,လျှား,70,forward
i,အိုင်,70,forward
iit,အစ်,70,forward
in,အင်,70,forward
inn,အင်း,70,forward
inza,အဉ္စ,70,forward
inzu,အဉ္ဇူ,70,forward
is,အစ္စ,70,forward
j,ဂျေ,70,forward
ja,ဂျ,70,forward
jac,ဂျက်ခ်,70,forward
jack,ဂျက်,70,forward
jal,ဂျယ်,70,forward
james,ဂျိမ်းစ်,70,forward
jan,ဂျန်,70,forward
jang,ဂျန်,70,forward
jar,ဂျာ,70,forward
jarl,ဂျာလ်,70,forward
jaw,ဂျော်,70,forward
jay,ဂျေ,70,forward
je,ဂျူ,70,forward
jet,ဂျတ်,70,forward
ji,ဂျီ,70,forward
jo,ဂျိုး,70,forward
john,ဂျွန်,70,forward
johne,ဂျွန်း,70,forward
johnn,ဂျွန်း,70,forward
jon,ဂျွန်,70,forward
ju,ဂျူ,70,forward
jud,ဂျက်ဒ်,70,forward
jue,ဂျူး,70,forward
june,ဂျွန်,70,forward
juu,ဂျူး,70,forward
jyal,ဂျဲ,70,forward
jyoun,ဂျွန်း,70,forward
k,ကေ,70,forward
ka,က,70,forward
kabar,ကမ္ဘာ,70,forward
kae,ကဲ,70,forward
kaik,ကိုက်,70,forward
kain,ကိမ်,70,forward
kaing,ကိုင်,70,forward
kainna,ကိန္န,70,forward
kal,ကယ်,70,forward
kam,ကမ်,70,forward
kamma,ကမ္မ,70,forward
kan,ကံ,70,forward
kane,ကိန်း,70,forward
kant,ကံ့,70,forward
kap,ကပ်,70,forward
kar,ကာ,70,forward
karl,ကာလ်,70,forward
kat,ကပ်,70,forward
katte,ကတ္တီ,70,forward
katti,ကတ္တီ,70,forward
kauk,ကောက်,70,forward
kaung,ကောင်း,70,forward
kaw,ကော်,70,forward
kawl,ကောလ်,70,forward
kawn,ကောန်,70,forward
kawt,ကော့,70,forward
kay,ကေ,70,forward
ke,ကီ,70,forward
kee,ကီး,70,forward
kein,ကိမ်,70,forward
kel,ကယ်လ်,70,forward
ken,ကန်,70,forward
ker,ကာ,70,forward
key,ကီ,70,forward
kha,ခ,70,forward
khae,ခဲ,70,forward
khagar,ခဂ္ဂါ,70,forward
khaing,ခိုင်,70,forward
khal,ခယ်,70,forward
kham,ခမ်း,70,forward
khan,ခန်း,70,forward
khant,ခန့်,70,forward
khante,ခန္တီ,70,forward
khanti,ခန္တီ,70,forward
khar,ခါး,70,forward
khat,ခက်,70,forward
khattar,ခတ္တာ,70,forward
khauk,ခေါက်,70,forward
khaung,ခေါင်,70,forward
khaut,ခေါက်,70,forward
khaw,ခေါန်,70,forward
khawl,ခေါလ်,70,forward
khawn,ခေါန်,70,forward
khay,ခေး,70,forward
khe,ခီ,70,forward
khet,ခက်,70,forward
khi,ခိ,70,forward
khin,ခင်,70,forward
khine,ခိုင်,70,forward
khit,ခေတ်,70,forward
kho,ခို,70,forward
khoke,ခုပ်,70,forward
